protein,freq,study
TTN,39,brca_sanger
PIK3CA,35,brca_sanger
TP53,30,brca_sanger
GATA3,16,brca_sanger
MUC16,15,brca_sanger
KMT2C,12,brca_sanger
DST,10,brca_sanger
SYNE1,9,brca_sanger
MTMR4,9,brca_sanger
MAP3K1,9,brca_sanger
CDH1,9,brca_sanger
HYDIN,9,brca_sanger
FSIP2,8,brca_sanger
DNAH11,8,brca_sanger
RYR3,7,brca_sanger
STAB2,7,brca_sanger
AHNAK,7,brca_sanger
DNAH3,7,brca_sanger
NCOR1,7,brca_sanger
BIRC6,7,brca_sanger
PKHD1L1,6,brca_sanger
DNAH8,6,brca_sanger
EFCAB5,6,brca_sanger
LRRC7,6,brca_sanger
DIDO1,6,brca_sanger
MYH2,6,brca_sanger
VPS13C,6,brca_sanger
PCLO,6,brca_sanger
GPR112,6,brca_sanger
MAP2K4,5,brca_sanger
FLG,5,brca_sanger
RNF17,5,brca_sanger
HEATR1,5,brca_sanger
CSMD1,5,brca_sanger
AKT1,5,brca_sanger
TMEM132B,5,brca_sanger
SYCP2,5,brca_sanger
FAM135B,5,brca_sanger
HERC1,5,brca_sanger
ANKRD30A,5,brca_sanger
NBAS,5,brca_sanger
SYNE2,5,brca_sanger
POLQ,5,brca_sanger
ATM,5,brca_sanger
MTHFR,5,brca_sanger
DNAH2,5,brca_sanger
PRRC2B,5,brca_sanger
TG,5,brca_sanger
SNAP91,5,brca_sanger
ABCA13,5,brca_sanger
TTN,83,gbm_tcga_pub2013
EGFR,78,gbm_tcga_pub2013
PTEN,69,gbm_tcga_pub2013
TP53,69,gbm_tcga_pub2013
MUC16,52,gbm_tcga_pub2013
FLG,37,gbm_tcga_pub2013
PIK3R1,32,gbm_tcga_pub2013
PCLO,29,gbm_tcga_pub2013
SPTA1,29,gbm_tcga_pub2013
PIK3CA,28,gbm_tcga_pub2013
NF1,28,gbm_tcga_pub2013
RYR2,25,gbm_tcga_pub2013
HMCN1,25,gbm_tcga_pub2013
MUC17,23,gbm_tcga_pub2013
AHNAK2,22,gbm_tcga_pub2013
USH2A,22,gbm_tcga_pub2013
RB1,21,gbm_tcga_pub2013
OBSCN,18,gbm_tcga_pub2013
RELN,17,gbm_tcga_pub2013
GPR98,17,gbm_tcga_pub2013
COL6A3,16,gbm_tcga_pub2013
DOCK5,16,gbm_tcga_pub2013
SYNE1,16,gbm_tcga_pub2013
PKHD1,16,gbm_tcga_pub2013
LRP2,15,gbm_tcga_pub2013
IDH1,15,gbm_tcga_pub2013
FRAS1,14,gbm_tcga_pub2013
TCHH,14,gbm_tcga_pub2013
DNAH5,14,gbm_tcga_pub2013
SDK1,13,gbm_tcga_pub2013
DCHS2,13,gbm_tcga_pub2013
KEL,13,gbm_tcga_pub2013
DNAH3,13,gbm_tcga_pub2013
FCGBP,13,gbm_tcga_pub2013
APOB,12,gbm_tcga_pub2013
PCDHA1,12,gbm_tcga_pub2013
MUC5B,12,gbm_tcga_pub2013
MROH2B,12,gbm_tcga_pub2013
RIMS2,12,gbm_tcga_pub2013
HRNR,12,gbm_tcga_pub2013
RBM47,12,gbm_tcga_pub2013
FGD5,12,gbm_tcga_pub2013
GABRA6,11,gbm_tcga_pub2013
GRIN2A,11,gbm_tcga_pub2013
PDGFRA,11,gbm_tcga_pub2013
DNAH8,11,gbm_tcga_pub2013
PLEKHG4B,11,gbm_tcga_pub2013
DSP,11,gbm_tcga_pub2013
DNAH11,11,gbm_tcga_pub2013
HCN1,11,gbm_tcga_pub2013
RP11-1055B8.7,6,paac_jhu_2014
SMAD4,6,paac_jhu_2014
TTN,6,paac_jhu_2014
HYDIN,5,paac_jhu_2014
TLE4,4,paac_jhu_2014
DYNC1H1,4,paac_jhu_2014
JAK1,4,paac_jhu_2014
BPTF,4,paac_jhu_2014
CAMSAP2,4,paac_jhu_2014
TNN,4,paac_jhu_2014
LRP1,4,paac_jhu_2014
PREB,4,paac_jhu_2014
IGFN1,4,paac_jhu_2014
SSPO,4,paac_jhu_2014
KSR2,4,paac_jhu_2014
OBSCN,4,paac_jhu_2014
ZNF831,4,paac_jhu_2014
ACVR2A,3,paac_jhu_2014
TUBA3D,3,paac_jhu_2014
HMCN1,3,paac_jhu_2014
ABCC1,3,paac_jhu_2014
RBM27,3,paac_jhu_2014
SPEG,3,paac_jhu_2014
PLXND1,3,paac_jhu_2014
LRP2,3,paac_jhu_2014
C2orf61,3,paac_jhu_2014
ZNF366,3,paac_jhu_2014
EPB41L3,3,paac_jhu_2014
ANK2,3,paac_jhu_2014
ADAMTSL1,3,paac_jhu_2014
NUP160,3,paac_jhu_2014
ABCA2,3,paac_jhu_2014
VWF,3,paac_jhu_2014
APOB,3,paac_jhu_2014
UBR5,3,paac_jhu_2014
BOD1L1,3,paac_jhu_2014
BIRC6,3,paac_jhu_2014
KCNB2,3,paac_jhu_2014
NIPBL,3,paac_jhu_2014
KIF21A,3,paac_jhu_2014
PLXNB3,3,paac_jhu_2014
PKHD1,3,paac_jhu_2014
ARNT,3,paac_jhu_2014
MUC17,3,paac_jhu_2014
MUC16,3,paac_jhu_2014
MAP3K12,3,paac_jhu_2014
TENM2,3,paac_jhu_2014
UBR4,3,paac_jhu_2014
SYT11,3,paac_jhu_2014
ZNF732,3,paac_jhu_2014
MEN1,5,panet_jhu_2011
DAXX,3,panet_jhu_2011
PTEN,2,panet_jhu_2011
TSC2,2,panet_jhu_2011
SLC6A8,1,panet_jhu_2011
OXCT2,1,panet_jhu_2011
ZNF678,1,panet_jhu_2011
TTC21B,1,panet_jhu_2011
MAP1A,1,panet_jhu_2011
DEFB118,1,panet_jhu_2011
MOCS1,1,panet_jhu_2011
C21orf58,1,panet_jhu_2011
CCDC158,1,panet_jhu_2011
DLC1,1,panet_jhu_2011
ZNF557,1,panet_jhu_2011
HIST1H2BD,1,panet_jhu_2011
ANXA8L2,1,panet_jhu_2011
IGFN1,1,panet_jhu_2011
PGLYRP3,1,panet_jhu_2011
SUPT5H,1,panet_jhu_2011
CSPG4,1,panet_jhu_2011
ZNF229,1,panet_jhu_2011
CUX1,1,panet_jhu_2011
TWSG1,1,panet_jhu_2011
SAMSN1,1,panet_jhu_2011
TDRKH,1,panet_jhu_2011
DZIP1L,1,panet_jhu_2011
PDP1,1,panet_jhu_2011
RASAL2,1,panet_jhu_2011
MYH6,1,panet_jhu_2011
RTTN,1,panet_jhu_2011
SZT2,1,panet_jhu_2011
KATNAL2,1,panet_jhu_2011
TFCP2L1,1,panet_jhu_2011
MYC,1,panet_jhu_2011
AFMID,1,panet_jhu_2011
TRAPPC12,1,panet_jhu_2011
NF1,1,panet_jhu_2011
MAMDC2,1,panet_jhu_2011
LPA,1,panet_jhu_2011
ADAMTS8,1,panet_jhu_2011
KANK1,1,panet_jhu_2011
CRTAC1,1,panet_jhu_2011
HS6ST1,1,panet_jhu_2011
FGF12,1,panet_jhu_2011
GABRQ,1,panet_jhu_2011
ZNF543,1,panet_jhu_2011
ZZEF1,1,panet_jhu_2011
PDE8A,1,panet_jhu_2011
FUT10,1,panet_jhu_2011
BRAF,241,hca_tcga_pub
NRAS,34,hca_tcga_pub
MUC16,21,hca_tcga_pub
TTN,17,hca_tcga_pub
TG,15,hca_tcga_pub
HRAS,14,hca_tcga_pub
DNAH9,10,hca_tcga_pub
OTUD4,10,hca_tcga_pub
ZFHX3,9,hca_tcga_pub
MUC17,8,hca_tcga_pub
CSMD2,8,hca_tcga_pub
EPPK1,7,hca_tcga_pub
KMT2C,7,hca_tcga_pub
PKHD1,7,hca_tcga_pub
KMT2A,7,hca_tcga_pub
MUC5B,7,hca_tcga_pub
OBSCN,6,hca_tcga_pub
MDN1,6,hca_tcga_pub
EIF1AX,6,hca_tcga_pub
GPR98,6,hca_tcga_pub
EVPL,6,hca_tcga_pub
LRP1,6,hca_tcga_pub
RYR1,6,hca_tcga_pub
SPTA1,6,hca_tcga_pub
JMJD1C,5,hca_tcga_pub
CHEK2,5,hca_tcga_pub
CDH8,5,hca_tcga_pub
CACNA1E,5,hca_tcga_pub
KIF4B,5,hca_tcga_pub
APOB,5,hca_tcga_pub
C5orf42,5,hca_tcga_pub
COL5A1,5,hca_tcga_pub
SLC12A4,5,hca_tcga_pub
CSMD3,5,hca_tcga_pub
DNAH8,5,hca_tcga_pub
MYO15A,5,hca_tcga_pub
PTPRD,5,hca_tcga_pub
PRKDC,5,hca_tcga_pub
PPM1D,5,hca_tcga_pub
DLC1,5,hca_tcga_pub
SYNE2,5,hca_tcga_pub
BDP1,5,hca_tcga_pub
COL5A3,5,hca_tcga_pub
ARID1B,5,hca_tcga_pub
SHROOM3,5,hca_tcga_pub
CACNA1G,5,hca_tcga_pub
NRXN1,5,hca_tcga_pub
ATM,5,hca_tcga_pub
DNAH1,5,hca_tcga_pub
ITPR2,5,hca_tcga_pub
